"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"93",93,-4.32827622108381,0.382256839328699,-2.46909430551293,0.540217515964453,-1.76407257369295,0.583773345281826,-0.866804996877909,"GYR",0.525
"94",94,-4.32827622108381,0.382256839328699,-1.98322801651195,0.610613242725792,-1.33799057208439,0.433546438546914,-0.866804996877909,"GYR",1.025
"95",95,-4.25678274689645,0.531239644592783,-2.37487908052726,0.383414198430011,-2.22237084530853,0.295625513078857,1.6879360511899,"GYR",0.775
"96",96,-4.08110870964042,0.579726090992902,-2.61688226373359,0.591677852548892,-1.3155125601415,0.873702294824062,1.45925475619734,"GYR",0.625
"97",97,-4.08110870964042,0.579726090992902,-2.41376982385781,0.641385026753579,-1.68627778820993,0.65129508864689,1.38421584516764,"GYR",0.725
"98",98,-4.08110870964042,0.579726090992902,-2.40517749657401,0.527159338944634,-2.05068479732003,0.472799542967756,1.38421584516764,"GYR",0.775
"99",99,-4.08110870964042,0.579726090992902,-1.95598750071003,0.636177617666256,-1.45182351399081,0.452548365953045,1.45925475619734,"GYR",0.825
"100",100,-4.08110870964042,0.579726090992902,-2.77223674426813,0.659677606204378,-1.58215727097801,0.840079108838222,1.38421584516764,"GYR",0.875
"101",101,-4.08110870964042,0.579726090992902,-2.46749107650187,0.727011839232366,-1.08492582364345,0.744143845440639,1.38421584516764,"GYR",0.925
"102",102,-4.14361185245566,0.618466442149526,-2.55172013283189,0.41793680798621,-2.33548166263317,0.413501704501978,3.62510454207659,"GYR",-0.275
"103",103,-4.14361185245566,0.618466442149526,-2.49195678560467,0.288976890412555,-2.40742578298038,0.260036028377157,3.62510454207659,"GYR",0.175
"104",104,-4.14361185245566,0.618466442149526,-2.72908533315648,0.243118086640732,-2.67219306075247,0.221462158484217,3.62510454207659,"GYR",0.775
"105",105,-4.14361185245566,0.618466442149526,-2.4172598219932,0.377876319727919,-2.25195875983528,0.358561198147643,3.62510454207659,"GYR",0.875
"106",106,-4.14361185245566,0.618466442149526,-2.52474752147795,0.352550993073218,-2.09225284835187,0.672670356358911,3.62510454207659,"GYR",0.975
"107",107,-4.14361185245566,0.618466442149526,-2.6135359429073,0.516306006777052,-2.37712802890769,0.397903658278371,3.62510454207659,"GYR",1.125
